"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"http://www.maxwell.com/images/documents/datasheet_75v_module.pdf","http://media.digikey.com/Photos/Maxwell%20Technologies%20Photos/BMOD0094%20P075%20B02.JPG","1182-1033-ND","BMOD0094 P075 B02","Maxwell Technologies Inc","CAP 94F 75V CHASSIS MOUNT",2,0,"2,963.16000",0,1,"Bulk","-","94F","-","75V","13 mOhm","1500 Hrs @ 65°C","-","Chassis Mount","Module - Screw Terminals","-","20.276"" L x 10.354"" W (515.00mm x 263.00mm)","8.689"" (220.70mm)","-40°C ~ 65°C"
"http://www.maxwell.com/images/documents/56vmodule_ds_1017119-3.pdf","http://media.digikey.com/Photos/Maxwell%20Technologies%20Photos/BMOD0130%20P056%20B03.jpg","1182-1032-ND","BMOD0130 P056 B03","Maxwell Technologies Inc","CAP 130F 56V CHASSIS MOUNT",47,0,"1,821.26000",0,1,"Bulk","-","130F","-","56V","8.1 mOhm","70080 Hrs @ 40°C","-","Chassis Mount","Module - Screw Terminals","-","26.890"" L x 6.968"" W (683.00mm x 177.00mm)","6.890"" (175.00mm)","-40°C ~ 40°C"
"http://www.maxwell.com/images/documents/hq_48v_ds10162013.pdf","http://media.digikey.com/Photos/Maxwell%20Technologies%20Photos/BMOD0083%20P048%20B01.jpg","1182-1030-ND","BMOD0083 P048 B01","Maxwell Technologies Inc","CAP 83F 48V CHASSIS MOUNT",10,0,"1,340.32000",0,1,"Bulk","-","83F","-","48V","10 mOhm","1500 Hrs @ 65°C","-","Chassis Mount","Module - Screw Terminals","-","16.457"" L x 7.520"" W (418.00mm x 191.00mm)","4.961"" (126.00mm)","-40°C ~ 65°C"
"http://www.maxwell.com/images/documents/hq_48v_ds10162013.pdf","http://media.digikey.com/photos/Maxwell%20Technologies%20Photos/BMOD0165%20P048%20B09.jpg","1182-1036-ND","BMOD0165 P048 B09","Maxwell Technologies Inc","CAP 165F 48V CHASSIS MOUNT",3,0,"1,352.15000",0,1,"Box","-","165F","-","48V","6.3 mOhm","1500 Hrs @ 65°C","-","Chassis Mount","Module","-","16.386"" L x 7.484"" W (416.20mm x 190.10mm)","6.268"" (159.20mm)","-40°C ~ 65°C"
"http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-10105-xvm-module.pdf","http://media.digikey.com/Photos/Cooper%20Bussmann%20Photos/MFG_XVM-16R2656-R.jpg","283-4464-ND","XVM-16R2656-R","Eaton Bussmann","CAP 65F 0% +20% 16.2V CHAS MNT",4,0,"165.00000",0,1,"Bulk","PowerStor® XVM","65F","0%, +20%","16.2V","22 mOhm","1500 Hrs @ 65°C","-","Chassis Mount","Module","0.847"" (21.50mm)","9.291"" L x 1.803"" W (236.00mm x 45.80mm)","3.051"" (77.50mm)","-40°C ~ 65°C"
"http://www.maxwell.com/images/documents/datasheet_16v_module.pdf","http://media.digikey.com/Photos/Maxwell%20Technologies%20Photos/BMOD0500%20P016%20B.jpg","1182-1029-ND","BMOD0500 P016 B02","Maxwell Technologies Inc","CAP 500F 16V CHASSIS MOUNT",8,0,"560.20000",0,1,"Bulk","-","500F","-","16V","2.1 mOhm","1500 Hrs @ 65°C","-","Chassis Mount","Module - Screw Terminals","-","16.457"" L x 2.677"" W (418.00mm x 68.00mm)","7.047"" (179.00mm)","-40°C ~ 65°C"
"http://www.maxwell.com/images/documents/datasheet_16v_module.pdf","http://media.digikey.com/Photos/Maxwell%20Technologies%20Photos/BMOD0500%20P016%20B.jpg","1182-1028-ND","BMOD0500 P016 B01","Maxwell Technologies Inc","CAP 500F 16V CHASSIS MOUNT",66,0,"567.11000",0,1,"Bulk","-","500F","-","16V","2.1 mOhm","1500 Hrs @ 65°C","-","Chassis Mount","Module - Screw Terminals","-","16.457"" L x 2.677"" W (418.00mm x 68.00mm)","7.047"" (179.00mm)","-40°C ~ 65°C"
"http://www.maxwell.com/images/documents/datasheet_16v_small_cell_module.pdf","http://media.digikey.com/Photos/Maxwell%20Technologies%20Photos/BMOD0058%20E016%20B02.JPG","1182-1027-ND","BMOD0058 E016 B02","Maxwell Technologies Inc","CAP 58F 16V CHASSIS MOUNT",120,0,"143.24000",0,1,"Bulk","-","58F","-","16V","22 mOhm","1500 Hrs @ 65°C","-","Chassis Mount","Module - Screw Terminals","-","8.917"" L x 1.949"" W (226.50mm x 49.50mm)","3.012"" (76.50mm)","-40°C ~ 65°C"
"http://www.avx.com/docs/Catalogs/bestcap.pdf","http://media.digikey.com/Photos/AVX%20Photos/Best%20Cap%20BZ%20Series%20-%20BZ02.JPG","478-6281-ND","BZ12GA124ZAB","AVX Corporation","CAP 120MF -20% +80% 16V T/H",124,0,"57.70000",0,1,"Bulk","BestCap® BZ","120mF","-20%, +80%","16V","160 mOhm","1000 Hrs @ 70°C","-","Through Hole","BZ12, 4 Lead","-","1.890"" L x 1.181"" W (48.00mm x 30.00mm)","0.358"" (9.10mm)","-20°C ~ 70°C"
"http://www.avx.com/docs/Catalogs/bestcap.pdf","http://media.digikey.com/photos/AVX%20Photos/BZ055A333ZSB.jpg","478-6277-ND","BZ05FB682ZSB","AVX Corporation","CAP 6.8MF -20% +80% 15V SMD",75,0,"16.36000",0,1,"Bulk","BestCap® BZ","6.8mF","-20%, +80%","15V","500 mOhm","1000 Hrs @ 70°C","-","Surface Mount","BZ05, 3 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","0.228"" (5.80mm)","-20°C ~ 70°C"
